rm -r thrasher sampler
g++ -o thrasher local.cpp -I. -DTHRASHER
g++ -o sampler local.cpp -I. -DSAMPLER
g++ -o frequencer local.cpp -I. 
Cache line size: 64 B
Found an address that falls on two cache lines: 0x5617c8597efe
samples:(20), locked:11, and result:1
samples:(55), locked:35, and result:1
samples:(39), locked:24, and result:1
samples:(64), locked:28, and result:0
samples:(20), locked:7, and result:0
samples:(20), locked:9, and result:0
samples:(21), locked:15, and result:1
samples:(38), locked:23, and result:1
samples:(44), locked:22, and result:1
samples:(42), locked:24, and result:1
samples:(49), locked:32, and result:1
samples:(20), locked:10, and result:1
samples:(21), locked:15, and result:1
samples:(20), locked:11, and result:1
samples:(43), locked:25, and result:1
samples:(46), locked:25, and result:1
samples:(57), locked:36, and result:1
samples:(45), locked:22, and result:0
samples:(22), locked:11, and result:1
samples:(19), locked:6, and result:0
samples:(21), locked:12, and result:1
samples:(26), locked:6, and result:0
samples:(44), locked:24, and result:1
samples:(49), locked:31, and result:1
samples:(51), locked:30, and result:1
samples:(51), locked:34, and result:1
samples:(21), locked:13, and result:1
samples:(19), locked:12, and result:1
samples:(21), locked:12, and result:1
samples:(37), locked:21, and result:1
samples:(55), locked:36, and result:1
samples:(57), locked:32, and result:1
samples:(47), locked:20, and result:0
samples:(41), locked:20, and result:0
samples:(20), locked:5, and result:0
samples:(20), locked:9, and result:0
samples:(21), locked:10, and result:0
samples:(60), locked:30, and result:1
samples:(46), locked:33, and result:1
samples:(61), locked:34, and result:1
samples:(51), locked:32, and result:1
samples:(21), locked:10, and result:0
samples:(21), locked:9, and result:0
samples:(37), locked:18, and result:0
samples:(56), locked:28, and result:1
samples:(52), locked:36, and result:1
samples:(41), locked:28, and result:1
samples:(45), locked:28, and result:1
samples:(20), locked:9, and result:0
samples:(20), locked:8, and result:0
samples:(21), locked:11, and result:1
samples:(37), locked:26, and result:1
samples:(52), locked:26, and result:1
samples:(50), locked:28, and result:1
samples:(58), locked:32, and result:1
samples:(31), locked:18, and result:1
samples:(19), locked:9, and result:0
samples:(19), locked:9, and result:0
samples:(36), locked:15, and result:0
samples:(49), locked:25, and result:1
samples:(51), locked:35, and result:1
samples:(45), locked:28, and result:1
samples:(40), locked:23, and result:1
samples:(20), locked:11, and result:1
samples:(18), locked:8, and result:0
samples:(34), locked:20, and result:1
samples:(47), locked:26, and result:1
samples:(44), locked:25, and result:1
samples:(26), locked:9, and result:0
samples:(21), locked:9, and result:0
samples:(20), locked:6, and result:0
samples:(19), locked:6, and result:0
samples:(50), locked:26, and result:1
samples:(64), locked:40, and result:1
samples:(63), locked:34, and result:1
samples:(52), locked:30, and result:1
samples:(43), locked:19, and result:0
samples:(23), locked:11, and result:0
samples:(20), locked:8, and result:0
samples:(20), locked:11, and result:1
samples:(37), locked:22, and result:1
samples:(54), locked:31, and result:1
samples:(62), locked:36, and result:1
samples:(57), locked:31, and result:1
samples:(62), locked:36, and result:1
samples:(20), locked:8, and result:0
samples:(22), locked:9, and result:0
samples:(19), locked:8, and result:0
samples:(54), locked:31, and result:1
samples:(43), locked:27, and result:1
samples:(47), locked:29, and result:1
samples:(63), locked:32, and result:1
samples:(22), locked:13, and result:1
samples:(21), locked:9, and result:0
samples:(21), locked:9, and result:0
samples:(20), locked:7, and result:0
samples:(48), locked:24, and result:1
samples:(59), locked:33, and result:1
samples:(51), locked:28, and result:1
samples:(54), locked:30, and result:1
samples:(22), locked:10, and result:0
samples:(21), locked:7, and result:0
samples:(19), locked:8, and result:0
samples:(42), locked:27, and result:1
samples:(65), locked:38, and result:1
samples:(57), locked:27, and result:0
samples:(21), locked:2, and result:0
samples:(20), locked:10, and result:1
samples:(20), locked:7, and result:0
samples:(23), locked:10, and result:0
samples:(45), locked:28, and result:1
samples:(49), locked:27, and result:1
samples:(47), locked:29, and result:1
samples:(58), locked:36, and result:1
samples:(19), locked:8, and result:0
samples:(19), locked:6, and result:0
samples:(29), locked:14, and result:0
samples:(47), locked:30, and result:1
samples:(50), locked:24, and result:0
samples:(45), locked:25, and result:1
samples:(48), locked:23, and result:0
samples:(53), locked:21, and result:0
samples:(19), locked:6, and result:0
samples:(19), locked:9, and result:0
samples:(41), locked:19, and result:0
samples:(54), locked:29, and result:1
samples:(43), locked:21, and result:0
samples:(56), locked:28, and result:1
samples:(34), locked:21, and result:1
samples:(18), locked:8, and result:0
samples:(20), locked:10, and result:1
samples:(40), locked:14, and result:0
samples:(58), locked:36, and result:1
samples:(44), locked:27, and result:1
samples:(53), locked:30, and result:1
samples:(55), locked:28, and result:1
samples:(22), locked:6, and result:0
samples:(19), locked:11, and result:1
samples:(50), locked:34, and result:1
samples:(52), locked:37, and result:1
samples:(59), locked:34, and result:1
samples:(64), locked:37, and result:1
samples:(20), locked:5, and result:0
samples:(19), locked:8, and result:0
samples:(19), locked:4, and result:0
samples:(54), locked:23, and result:0
samples:(48), locked:24, and result:1
samples:(47), locked:22, and result:0
samples:(46), locked:25, and result:1
samples:(25), locked:11, and result:0
samples:(20), locked:9, and result:0
samples:(20), locked:8, and result:0
samples:(21), locked:8, and result:0
samples:(48), locked:24, and result:1
samples:(55), locked:33, and result:1
samples:(49), locked:26, and result:1
samples:(53), locked:29, and result:1
samples:(21), locked:5, and result:0
samples:(19), locked:3, and result:0
samples:(18), locked:6, and result:0
samples:(43), locked:23, and result:1
samples:(45), locked:21, and result:0
samples:(50), locked:29, and result:1
samples:(49), locked:29, and result:1
samples:(56), locked:32, and result:1
samples:(20), locked:7, and result:0
samples:(21), locked:12, and result:1
samples:(20), locked:8, and result:0
samples:(50), locked:25, and result:1
samples:(52), locked:26, and result:1
samples:(55), locked:30, and result:1
samples:(29), locked:17, and result:1
samples:(18), locked:9, and result:1
samples:(20), locked:9, and result:0
samples:(39), locked:25, and result:1
samples:(41), locked:22, and result:1
samples:(50), locked:35, and result:1
samples:(38), locked:26, and result:1
samples:(21), locked:11, and result:1
samples:(19), locked:10, and result:1
samples:(18), locked:6, and result:0
samples:(37), locked:17, and result:0
samples:(53), locked:30, and result:1
samples:(47), locked:31, and result:1
samples:(60), locked:32, and result:1
samples:(23), locked:11, and result:0
samples:(21), locked:10, and result:0
samples:(20), locked:10, and result:1
samples:(35), locked:20, and result:1
samples:(53), locked:33, and result:1
samples:(50), locked:31, and result:1
samples:(63), locked:31, and result:0
samples:(33), locked:15, and result:0
samples:(20), locked:9, and result:0
samples:(21), locked:11, and result:1
samples:(24), locked:13, and result:1
samples:(54), locked:29, and result:1
samples:(48), locked:32, and result:1
samples:(50), locked:36, and result:1
samples:(48), locked:22, and result:0
samples:(21), locked:8, and result:0
samples:(19), locked:9, and result:0
samples:(20), locked:9, and result:0
samples:(37), locked:18, and result:0
samples:(53), locked:34, and result:1
samples:(50), locked:27, and result:1
samples:(45), locked:28, and result:1
samples:(59), locked:38, and result:1
samples:(20), locked:6, and result:0
samples:(19), locked:8, and result:0
samples:(31), locked:14, and result:0
samples:(54), locked:33, and result:1
samples:(42), locked:24, and result:1
samples:(57), locked:29, and result:1
samples:(20), locked:6, and result:0
samples:(20), locked:9, and result:0
samples:(21), locked:9, and result:0
samples:(24), locked:12, and result:1
samples:(43), locked:19, and result:0
samples:(61), locked:31, and result:1
samples:(58), locked:24, and result:0
samples:(32), locked:18, and result:1
samples:(21), locked:11, and result:1
samples:(19), locked:9, and result:0
samples:(61), locked:34, and result:1
samples:(54), locked:30, and result:1
samples:(60), locked:29, and result:0
samples:(44), locked:31, and result:1
samples:(48), locked:34, and result:1
samples:(20), locked:9, and result:0
samples:(20), locked:6, and result:0
samples:(19), locked:12, and result:1
samples:(37), locked:23, and result:1
samples:(44), locked:31, and result:1
samples:(51), locked:32, and result:1
samples:(43), locked:24, and result:1
samples:(44), locked:30, and result:1
samples:(28), locked:14, and result:1
samples:(20), locked:9, and result:0
samples:(19), locked:12, and result:1
samples:(19), locked:10, and result:1
samples:(58), locked:34, and result:1
samples:(40), locked:27, and result:1
samples:(54), locked:33, and result:1
samples:(58), locked:27, and result:0
samples:(32), locked:21, and result:1
samples:(20), locked:10, and result:1
samples:(52), locked:29, and result:1
samples:(55), locked:35, and result:1
samples:(45), locked:26, and result:1
samples:(46), locked:24, and result:1
samples:(44), locked:27, and result:1
samples:(21), locked:9, and result:0
samples:(19), locked:9, and result:0
samples:(26), locked:11, and result:0
samples:(51), locked:32, and result:1
samples:(49), locked:23, and result:0
samples:(44), locked:24, and result:1
samples:(66), locked:44, and result:1
samples:(21), locked:11, and result:1
samples:(21), locked:8, and result:0
samples:(18), locked:5, and result:0
samples:(19), locked:8, and result:0
samples:(40), locked:27, and result:1
samples:(51), locked:28, and result:1
samples:(40), locked:20, and result:1
samples:(52), locked:25, and result:0
samples:(20), locked:9, and result:0
samples:(20), locked:8, and result:0
samples:(49), locked:30, and result:1
samples:(52), locked:34, and result:1
samples:(57), locked:36, and result:1
samples:(58), locked:31, and result:1
samples:(40), locked:21, and result:1
samples:(21), locked:10, and result:0
samples:(20), locked:8, and result:0
samples:(20), locked:9, and result:0
samples:(31), locked:12, and result:0
samples:(45), locked:26, and result:1
samples:(59), locked:35, and result:1
samples:(42), locked:19, and result:0
samples:(19), locked:2, and result:0
samples:(20), locked:7, and result:0
samples:(28), locked:14, and result:1
samples:(60), locked:38, and result:1
samples:(64), locked:27, and result:0
samples:(53), locked:31, and result:1
samples:(20), locked:7, and result:0
samples:(20), locked:8, and result:0
samples:(35), locked:21, and result:1
samples:(47), locked:24, and result:1
samples:(62), locked:36, and result:1
samples:(48), locked:24, and result:1
samples:(21), locked:7, and result:0
samples:(20), locked:11, and result:1
samples:(20), locked:13, and result:1
samples:(21), locked:8, and result:0
samples:(57), locked:26, and result:0
samples:(45), locked:26, and result:1
samples:(51), locked:24, and result:0
samples:(24), locked:10, and result:0
samples:(20), locked:12, and result:1
samples:(18), locked:6, and result:0
samples:(46), locked:26, and result:1
samples:(30), locked:20, and result:1
samples:(66), locked:36, and result:1
samples:(49), locked:32, and result:1
samples:(24), locked:11, and result:0
samples:(20), locked:10, and result:1
samples:(21), locked:8, and result:0
samples:(20), locked:10, and result:1
samples:(56), locked:25, and result:0
samples:(42), locked:25, and result:1
samples:(45), locked:29, and result:1
samples:(51), locked:29, and result:1
samples:(48), locked:24, and result:1
samples:(28), locked:12, and result:0
samples:(19), locked:13, and result:1
samples:(20), locked:8, and result:0
samples:(39), locked:25, and result:1
samples:(59), locked:37, and result:1
samples:(49), locked:24, and result:0
samples:(51), locked:26, and result:1
samples:(22), locked:8, and result:0
samples:(20), locked:10, and result:1
samples:(20), locked:3, and result:0
samples:(21), locked:6, and result:0
samples:(43), locked:20, and result:0
samples:(51), locked:32, and result:1
samples:(51), locked:28, and result:1
samples:(47), locked:27, and result:1
samples:(50), locked:24, and result:0
samples:(30), locked:17, and result:1
samples:(18), locked:5, and result:0
samples:(20), locked:9, and result:0
samples:(20), locked:9, and result:0
samples:(34), locked:13, and result:0
samples:(48), locked:35, and result:1
samples:(40), locked:19, and result:0
samples:(41), locked:27, and result:1
samples:(59), locked:41, and result:1
samples:(20), locked:12, and result:1
samples:(21), locked:9, and result:0
samples:(21), locked:9, and result:0
samples:(56), locked:30, and result:1
samples:(56), locked:26, and result:0
samples:(52), locked:26, and result:1
samples:(56), locked:32, and result:1
samples:(19), locked:6, and result:0
samples:(19), locked:7, and result:0
samples:(20), locked:11, and result:1
samples:(41), locked:24, and result:1
samples:(43), locked:23, and result:1
samples:(40), locked:27, and result:1
samples:(40), locked:22, and result:1
samples:(55), locked:24, and result:0
samples:(20), locked:8, and result:0
samples:(19), locked:7, and result:0
samples:(21), locked:10, and result:0
samples:(50), locked:32, and result:1
samples:(49), locked:37, and result:1
samples:(70), locked:37, and result:1
samples:(47), locked:24, and result:1
samples:(26), locked:17, and result:1
samples:(20), locked:12, and result:1
samples:(20), locked:7, and result:0
samples:(32), locked:16, and result:1
samples:(51), locked:33, and result:1
samples:(62), locked:31, and result:1
samples:(52), locked:30, and result:1
samples:(40), locked:19, and result:0
samples:(21), locked:9, and result:0
samples:(21), locked:7, and result:0
samples:(20), locked:9, and result:0
samples:(32), locked:17, and result:1
samples:(58), locked:32, and result:1
samples:(48), locked:30, and result:1
samples:(43), locked:22, and result:1
samples:(62), locked:28, and result:0
samples:(21), locked:8, and result:0
samples:(19), locked:10, and result:1
samples:(20), locked:7, and result:0
samples:(58), locked:33, and result:1
samples:(49), locked:22, and result:0
samples:(43), locked:24, and result:1
samples:(22), locked:10, and result:0
samples:(20), locked:10, and result:1
samples:(29), locked:17, and result:1
samples:(49), locked:31, and result:1
samples:(50), locked:38, and result:1
samples:(41), locked:26, and result:1
samples:(54), locked:32, and result:1
samples:(25), locked:13, and result:1
samples:(20), locked:10, and result:1
samples:(18), locked:9, and result:1
samples:(20), locked:7, and result:0
samples:(48), locked:22, and result:0
samples:(52), locked:26, and result:1
samples:(33), locked:19, and result:1
samples:(18), locked:7, and result:0
samples:(22), locked:13, and result:1
samples:(34), locked:16, and result:0
samples:(64), locked:39, and result:1
samples:(44), locked:29, and result:1
samples:(49), locked:25, and result:1
samples:(44), locked:25, and result:1
samples:(35), locked:17, and result:0
samples:(20), locked:8, and result:0
samples:(19), locked:12, and result:1
samples:(22), locked:8, and result:0
samples:(28), locked:16, and result:1
samples:(53), locked:26, and result:0
samples:(53), locked:27, and result:1
samples:(56), locked:37, and result:1
samples:(62), locked:34, and result:1
samples:(20), locked:9, and result:0
samples:(21), locked:11, and result:1
samples:(54), locked:29, and result:1
samples:(53), locked:32, and result:1
samples:(35), locked:15, and result:0
samples:(46), locked:30, and result:1
samples:(55), locked:27, and result:0
samples:(20), locked:10, and result:1
samples:(20), locked:10, and result:1
samples:(19), locked:6, and result:0
samples:(23), locked:12, and result:1
samples:(39), locked:24, and result:1
samples:(40), locked:20, and result:1
samples:(46), locked:21, and result:0
samples:(34), locked:13, and result:0
samples:(19), locked:13, and result:1
samples:(21), locked:11, and result:1
samples:(20), locked:12, and result:1
samples:(29), locked:16, and result:1
samples:(41), locked:29, and result:1
samples:(58), locked:36, and result:1
samples:(61), locked:36, and result:1
samples:(56), locked:30, and result:1
samples:(21), locked:13, and result:1
samples:(21), locked:11, and result:1
samples:(20), locked:11, and result:1
samples:(20), locked:14, and result:1
samples:(51), locked:32, and result:1
samples:(52), locked:33, and result:1
samples:(48), locked:24, and result:1
samples:(46), locked:24, and result:1
samples:(21), locked:2, and result:0
samples:(21), locked:5, and result:0
samples:(21), locked:5, and result:0
samples:(28), locked:14, and result:1
samples:(57), locked:34, and result:1
samples:(57), locked:34, and result:1
samples:(58), locked:27, and result:0
samples:(30), locked:16, and result:1
samples:(20), locked:5, and result:0
samples:(30), locked:12, and result:0
samples:(54), locked:26, and result:0
samples:(40), locked:23, and result:1
samples:(47), locked:28, and result:1
samples:(20), locked:9, and result:0
samples:(19), locked:3, and result:0
samples:(19), locked:9, and result:0
samples:(49), locked:30, and result:1
samples:(48), locked:23, and result:0
samples:(45), locked:18, and result:0
samples:(22), locked:13, and result:1
samples:(20), locked:11, and result:1
samples:(19), locked:5, and result:0
samples:(41), locked:21, and result:1
samples:(35), locked:22, and result:1
samples:(52), locked:29, and result:1
samples:(69), locked:37, and result:1
samples:(38), locked:25, and result:1
samples:(19), locked:8, and result:0
samples:(20), locked:8, and result:0
samples:(43), locked:26, and result:1
samples:(46), locked:25, and result:1
samples:(60), locked:29, and result:0
samples:(48), locked:22, and result:0
samples:(27), locked:14, and result:1
samples:(20), locked:10, and result:1
samples:(20), locked:8, and result:0
samples:(42), locked:22, and result:1
samples:(52), locked:34, and result:1
samples:(51), locked:25, and result:0
samples:(42), locked:27, and result:1
samples:(46), locked:30, and result:1
samples:(19), locked:8, and result:0
samples:(21), locked:7, and result:0
samples:(20), locked:8, and result:0
samples:(29), locked:11, and result:0
samples:(57), locked:35, and result:1
samples:(56), locked:31, and result:1
samples:(46), locked:19, and result:0
samples:(50), locked:22, and result:0
samples:(28), locked:15, and result:1
samples:(20), locked:9, and result:0
samples:(21), locked:7, and result:0
samples:(37), locked:18, and result:0
samples:(54), locked:33, and result:1
samples:(46), locked:22, and result:0
samples:(45), locked:34, and result:1
samples:(28), locked:13, and result:0
samples:(21), locked:9, and result:0
samples:(20), locked:10, and result:1
samples:(35), locked:20, and result:1
samples:(49), locked:26, and result:1
samples:(50), locked:25, and result:1
samples:(53), locked:26, and result:0
samples:(58), locked:28, and result:0
samples:(20), locked:7, and result:0
samples:(19), locked:8, and result:0
samples:(21), locked:12, and result:1
samples:(56), locked:35, and result:1
samples:(53), locked:30, and result:1
samples:(41), locked:18, and result:0
samples:(51), locked:29, and result:1
samples:(20), locked:9, and result:0
samples:(19), locked:10, and result:1
samples:(19), locked:7, and result:0
samples:(46), locked:25, and result:1
samples:(64), locked:31, and result:0
samples:(53), locked:26, and result:0
samples:(44), locked:29, and result:1
samples:(37), locked:23, and result:1
samples:(21), locked:7, and result:0
samples:(19), locked:11, and result:1
samples:(38), locked:23, and result:1
samples:(62), locked:33, and result:1
samples:(45), locked:26, and result:1
samples:(60), locked:31, and result:1
samples:(19), locked:6, and result:0
samples:(21), locked:4, and result:0
samples:(20), locked:6, and result:0
samples:(23), locked:11, and result:0
samples:(69), locked:37, and result:1
samples:(48), locked:24, and result:1
samples:(56), locked:31, and result:1
samples:(20), locked:9, and result:0
samples:(21), locked:5, and result:0
samples:(19), locked:6, and result:0
samples:(22), locked:7, and result:0
samples:(52), locked:28, and result:1
samples:(57), locked:32, and result:1
samples:(35), locked:25, and result:1
samples:(29), locked:22, and result:1
samples:(21), locked:12, and result:1
samples:(20), locked:7, and result:0
samples:(19), locked:8, and result:0
samples:(57), locked:32, and result:1
samples:(35), locked:19, and result:1
samples:(48), locked:28, and result:1
samples:(44), locked:27, and result:1
samples:(42), locked:20, and result:0
samples:(20), locked:6, and result:0
samples:(19), locked:7, and result:0
samples:(19), locked:6, and result:0
samples:(25), locked:12, and result:0
samples:(42), locked:26, and result:1
samples:(49), locked:31, and result:1
samples:(62), locked:34, and result:1
samples:(44), locked:25, and result:1
samples:(20), locked:7, and result:0
samples:(21), locked:7, and result:0
samples:(20), locked:8, and result:0
samples:(51), locked:31, and result:1
samples:(58), locked:36, and result:1
samples:(58), locked:30, and result:1
samples:(42), locked:29, and result:1
samples:(26), locked:14, and result:1
samples:(19), locked:7, and result:0
samples:(20), locked:9, and result:0
samples:(40), locked:19, and result:0
samples:(52), locked:18, and result:0
samples:(44), locked:23, and result:1
samples:(32), locked:19, and result:1
samples:(19), locked:9, and result:0
samples:(20), locked:9, and result:0
samples:(43), locked:19, and result:0
samples:(59), locked:38, and result:1
samples:(39), locked:20, and result:1
samples:(53), locked:20, and result:0
samples:(19), locked:9, and result:0
samples:(20), locked:8, and result:0
samples:(53), locked:34, and result:1
samples:(58), locked:33, and result:1
samples:(50), locked:28, and result:1
samples:(48), locked:25, and result:1
samples:(51), locked:31, and result:1
samples:(18), locked:7, and result:0
samples:(19), locked:10, and result:1
samples:(20), locked:13, and result:1
samples:(39), locked:20, and result:1
samples:(47), locked:32, and result:1
samples:(55), locked:36, and result:1
samples:(51), locked:27, and result:1
samples:(45), locked:21, and result:0
samples:(21), locked:8, and result:0
samples:(21), locked:6, and result:0
samples:(30), locked:13, and result:0
samples:(54), locked:27, and result:1
samples:(56), locked:28, and result:1
samples:(62), locked:31, and result:1
samples:(25), locked:12, and result:0
samples:(19), locked:9, and result:0
samples:(20), locked:6, and result:0
samples:(53), locked:24, and result:0
samples:(50), locked:24, and result:0
samples:(61), locked:34, and result:1
samples:(48), locked:29, and result:1
samples:(59), locked:38, and result:1
samples:(22), locked:9, and result:0
samples:(19), locked:8, and result:0
samples:(21), locked:5, and result:0
samples:(24), locked:13, and result:1
samples:(47), locked:31, and result:1
samples:(53), locked:33, and result:1
samples:(50), locked:27, and result:1
samples:(28), locked:17, and result:1
samples:(20), locked:7, and result:0
samples:(21), locked:5, and result:0
samples:(46), locked:20, and result:0
samples:(57), locked:25, and result:0
samples:(61), locked:40, and result:1
samples:(49), locked:33, and result:1
samples:(21), locked:11, and result:1
samples:(21), locked:10, and result:0
samples:(20), locked:10, and result:1
samples:(28), locked:12, and result:0
samples:(50), locked:28, and result:1
samples:(59), locked:36, and result:1
samples:(40), locked:23, and result:1
samples:(52), locked:33, and result:1
samples:(39), locked:19, and result:0
samples:(20), locked:8, and result:0
samples:(21), locked:10, and result:0
samples:(21), locked:13, and result:1
samples:(29), locked:9, and result:0
samples:(45), locked:31, and result:1
samples:(53), locked:26, and result:0
samples:(50), locked:26, and result:1
samples:(31), locked:15, and result:0
samples:(21), locked:11, and result:1
samples:(20), locked:9, and result:0
samples:(20), locked:7, and result:0
samples:(35), locked:22, and result:1
samples:(47), locked:27, and result:1
samples:(52), locked:33, and result:1
samples:(49), locked:26, and result:1
samples:(61), locked:35, and result:1
samples:(45), locked:27, and result:1
samples:(19), locked:12, and result:1
samples:(19), locked:8, and result:0
samples:(21), locked:10, and result:0
samples:(31), locked:16, and result:1
samples:(62), locked:46, and result:1
samples:(54), locked:31, and result:1
samples:(59), locked:39, and result:1
samples:(58), locked:31, and result:1
samples:(43), locked:23, and result:1
samples:(21), locked:10, and result:0
samples:(20), locked:8, and result:0
samples:(20), locked:7, and result:0
samples:(33), locked:14, and result:0
samples:(52), locked:27, and result:1
samples:(39), locked:28, and result:1
samples:(56), locked:36, and result:1
samples:(53), locked:30, and result:1
samples:(46), locked:29, and result:1
samples:(21), locked:9, and result:0
samples:(20), locked:13, and result:1
samples:(20), locked:6, and result:0
samples:(19), locked:7, and result:0
samples:(51), locked:34, and result:1
samples:(41), locked:22, and result:1
samples:(56), locked:36, and result:1
samples:(59), locked:33, and result:1
samples:(20), locked:12, and result:1
samples:(21), locked:7, and result:0
samples:(19), locked:9, and result:0
samples:(31), locked:15, and result:0
samples:(52), locked:33, and result:1
samples:(60), locked:35, and result:1
samples:(49), locked:27, and result:1
samples:(59), locked:35, and result:1
samples:(62), locked:33, and result:1
samples:(38), locked:18, and result:0
samples:(20), locked:6, and result:0
samples:(19), locked:5, and result:0
samples:(20), locked:13, and result:1
samples:(35), locked:22, and result:1
samples:(58), locked:34, and result:1
samples:(53), locked:28, and result:1
samples:(42), locked:27, and result:1
samples:(44), locked:25, and result:1
samples:(21), locked:9, and result:0
samples:(21), locked:7, and result:0
samples:(21), locked:8, and result:0
samples:(21), locked:14, and result:1
samples:(50), locked:33, and result:1
samples:(56), locked:29, and result:1
samples:(48), locked:28, and result:1
samples:(56), locked:33, and result:1
samples:(47), locked:20, and result:0
samples:(19), locked:9, and result:0
samples:(28), locked:12, and result:0
samples:(54), locked:31, and result:1
samples:(65), locked:35, and result:1
samples:(50), locked:32, and result:1
samples:(45), locked:25, and result:1
samples:(21), locked:6, and result:0
samples:(21), locked:10, and result:0
samples:(19), locked:13, and result:1
samples:(33), locked:18, and result:1
samples:(57), locked:23, and result:0
samples:(65), locked:35, and result:1
samples:(59), locked:29, and result:0
samples:(54), locked:33, and result:1
samples:(38), locked:21, and result:1
samples:(19), locked:8, and result:0
samples:(20), locked:8, and result:0
samples:(40), locked:23, and result:1
samples:(49), locked:24, and result:0
samples:(44), locked:27, and result:1
samples:(58), locked:33, and result:1
samples:(21), locked:13, and result:1
samples:(21), locked:5, and result:0
samples:(20), locked:8, and result:0
samples:(21), locked:8, and result:0
samples:(51), locked:24, and result:0
samples:(59), locked:38, and result:1
samples:(68), locked:34, and result:1
samples:(48), locked:24, and result:1
samples:(40), locked:24, and result:1
samples:(21), locked:10, and result:0
samples:(20), locked:10, and result:1
samples:(20), locked:11, and result:1
samples:(45), locked:29, and result:1
samples:(56), locked:25, and result:0
samples:(51), locked:27, and result:1
samples:(75), locked:40, and result:1
samples:(19), locked:8, and result:0
samples:(20), locked:5, and result:0
samples:(75), locked:40, and result:1
samples:(57), locked:23, and result:0
samples:(57), locked:24, and result:0
samples:(46), locked:28, and result:1
samples:(19), locked:10, and result:1
samples:(20), locked:9, and result:0
samples:(22), locked:13, and result:1
samples:(34), locked:14, and result:0
samples:(58), locked:44, and result:1
samples:(62), locked:38, and result:1
samples:(48), locked:25, and result:1
samples:(48), locked:30, and result:1
samples:(22), locked:10, and result:0
samples:(21), locked:12, and result:1
samples:(18), locked:8, and result:0
samples:(20), locked:9, and result:0
samples:(52), locked:32, and result:1
samples:(53), locked:25, and result:0
samples:(46), locked:27, and result:1
samples:(52), locked:34, and result:1
samples:(41), locked:28, and result:1
samples:(20), locked:11, and result:1
samples:(18), locked:9, and result:1
samples:(21), locked:8, and result:0
samples:(30), locked:14, and result:0
samples:(56), locked:33, and result:1
samples:(50), locked:34, and result:1
samples:(46), locked:25, and result:1
samples:(53), locked:27, and result:1
samples:(21), locked:10, and result:0
samples:(20), locked:8, and result:0
samples:(19), locked:3, and result:0
samples:(21), locked:7, and result:0
samples:(55), locked:35, and result:1
samples:(41), locked:32, and result:1
samples:(37), locked:28, and result:1
samples:(55), locked:33, and result:1
samples:(31), locked:10, and result:0
samples:(19), locked:12, and result:1
samples:(25), locked:16, and result:1
samples:(47), locked:20, and result:0
samples:(42), locked:19, and result:0
samples:(62), locked:32, and result:1
samples:(27), locked:15, and result:1
samples:(20), locked:13, and result:1
samples:(21), locked:9, and result:0
samples:(19), locked:6, and result:0
samples:(48), locked:26, and result:1
samples:(49), locked:21, and result:0
samples:(50), locked:22, and result:0
samples:(59), locked:24, and result:0
samples:(48), locked:25, and result:1
samples:(32), locked:14, and result:0
samples:(20), locked:8, and result:0
samples:(21), locked:7, and result:0
samples:(20), locked:9, and result:0
samples:(54), locked:32, and result:1
samples:(44), locked:25, and result:1
samples:(57), locked:30, and result:1
samples:(21), locked:12, and result:1
samples:(20), locked:12, and result:1
samples:(20), locked:11, and result:1
samples:(22), locked:8, and result:0
samples:(56), locked:33, and result:1
samples:(52), locked:32, and result:1
samples:(47), locked:30, and result:1
samples:(27), locked:14, and result:1
samples:(20), locked:6, and result:0
samples:(20), locked:7, and result:0
samples:(49), locked:27, and result:1
samples:(57), locked:33, and result:1
samples:(50), locked:31, and result:1
samples:(37), locked:24, and result:1
samples:(55), locked:34, and result:1
samples:(28), locked:17, and result:1
samples:(20), locked:11, and result:1
samples:(19), locked:10, and result:1
samples:(38), locked:12, and result:0
samples:(50), locked:24, and result:0
samples:(47), locked:23, and result:0
samples:(50), locked:30, and result:1
samples:(44), locked:23, and result:1
samples:(47), locked:18, and result:0
samples:(20), locked:7, and result:0
samples:(20), locked:11, and result:1
samples:(22), locked:9, and result:0
samples:(53), locked:24, and result:0
samples:(43), locked:25, and result:1
samples:(48), locked:30, and result:1
samples:(18), locked:12, and result:1
samples:(20), locked:6, and result:0
samples:(20), locked:11, and result:1
samples:(38), locked:19, and result:1
samples:(54), locked:29, and result:1
samples:(49), locked:30, and result:1
samples:(55), locked:24, and result:0
samples:(33), locked:21, and result:1
samples:(20), locked:9, and result:0
samples:(23), locked:14, and result:1
samples:(37), locked:26, and result:1
samples:(57), locked:41, and result:1
samples:(45), locked:28, and result:1
samples:(29), locked:12, and result:0
samples:(21), locked:8, and result:0
samples:(48), locked:23, and result:0
samples:(50), locked:34, and result:1
samples:(52), locked:31, and result:1
samples:(48), locked:29, and result:1
samples:(24), locked:16, and result:1
samples:(21), locked:8, and result:0
samples:(20), locked:4, and result:0
samples:(60), locked:29, and result:0
samples:(55), locked:31, and result:1
samples:(49), locked:24, and result:0
samples:(26), locked:14, and result:1
samples:(20), locked:12, and result:1
samples:(41), locked:20, and result:0
samples:(60), locked:36, and result:1
samples:(45), locked:23, and result:1
samples:(50), locked:30, and result:1
samples:(34), locked:19, and result:1
samples:(21), locked:9, and result:0
samples:(20), locked:12, and result:1
samples:(19), locked:9, and result:0
